"","Time","Name","Instructor","Location"
"Friday, 14 February 2025","15:00 - 16:00","VIRTUAL BODYPUMP","VIRTUAL INSTRUCTOR","TENERIFFE"
"Friday, 14 February 2025","15:00 - 16:00","REFORMER PILATES","VIRTUAL INSTRUCTOR","SOUTH MORANG (ONE HEALTH)"
"Friday, 14 February 2025","15:00 - 15:45","VIRTUAL BODYPUMP","VIRTUAL INSTRUCTOR","LAVINGTON"
"Friday, 14 February 2025","15:00 - 15:45","REFORMER PILATES","MEGAN","BUTLER"
"Friday, 14 February 2025","15:30 - 16:00","VIRTUAL BODYBALANCE","VIRTUAL INSTRUCTOR","REDCLIFFE"
"Friday, 14 February 2025","16:00 - 16:30","VIRTUAL GRIT SERIES","VIRTUAL INSTRUCTOR","TUGGERANONG"
"Friday, 14 February 2025","16:00 - 17:00","VIRTUAL BODYCOMBAT","VIRTUAL INSTRUCTOR","TENERIFFE"
"Friday, 14 February 2025","16:00 - 17:00","REFORMER PILATES","VIRTUAL INSTRUCTOR","SOUTH MORANG (ONE HEALTH)"
"Friday, 14 February 2025","16:00 - 16:45","VIRTUAL REFORMER","VIRTUAL INSTRUCTOR","BROADBEACH"
"Friday, 14 February 2025","16:00 - 16:45","VIRTUAL BODYATTACK","VIRTUAL INSTRUCTOR","LAVINGTON"
"Friday, 14 February 2025","16:00 - 17:00","WOD","CLUB LIME ATHLETICA","PORT KENNEDY"
"Friday, 14 February 2025","16:05 - 16:50","REFORMER PILATES","MEGAN","BUTLER"
"Friday, 14 February 2025","16:30 - 17:00","VIRTUAL CORE","VIRTUAL INSTRUCTOR","TUGGERANONG"
"Friday, 14 February 2025","16:30 - 17:15","EMOM","JESSE","HIIT REPUBLIC YAMANTO"
"Friday, 14 February 2025","16:30 - 17:15","REFORMER - INTERMEDIATE","KYLIE","UPWEY"
"Friday, 14 February 2025","16:45 - 17:15","LES MILLS CORE","TINA","ANU"
"Friday, 14 February 2025","17:00 - 17:30","VIRTUAL RPM","VIRTUAL INSTRUCTOR","TENERIFFE"
"Friday, 14 February 2025","17:00 - 17:45","EMOM","HANNAH","HIIT REPUBLIC WOLLONGONG"
"Friday, 14 February 2025","17:00 - 17:45","EMOM","HEIDI","HIIT REPUBLIC SHELLHARBOUR"
"Friday, 14 February 2025","17:00 - 18:00","REFORMER PILATES","VIRTUAL INSTRUCTOR","SOUTH MORANG (ONE HEALTH)"
"Friday, 14 February 2025","17:00 - 17:45","VIRTUAL REFORMER","VIRTUAL INSTRUCTOR","BROADBEACH"
"Friday, 14 February 2025","17:00 - 17:50","VIRTUAL BODYBALANCE","VIRTUAL INSTRUCTOR","LAVINGTON"
"Friday, 14 February 2025","17:00 - 18:00","WOD","CLUB LIME ATHLETICA","MANDURAH"
"Friday, 14 February 2025","17:00 - 17:45","REFORMER PILATES","MEGAN","BUTLER"
"Friday, 14 February 2025","17:15 - 18:00","HYBRID","JORDAN","HIIT REPUBLIC CORRIMAL"
"Friday, 14 February 2025","17:30 - 18:30","BODYCOMBAT","TRACEY","BELCONNEN (OATLEY COURT)"
"Friday, 14 February 2025","17:30 - 18:30","BODYPUMP","TRISTAN","BELCONNEN (CISAC PLATINUM)"
"Friday, 14 February 2025","17:30 - 18:15","BODYPUMP","MOE H","WOLLONGONG"
"Friday, 14 February 2025","17:30 - 18:30","BODYPUMP","ANNE-MAREE","WAGGA WAGGA"
"Friday, 14 February 2025","17:30 - 18:30","BODYBALANCE","NICKY","ANU"
"Friday, 14 February 2025","17:30 - 18:00","LES MILLS SPRINT","ROSY","BELCONNEN (CISAC PLATINUM)"
"Friday, 14 February 2025","17:30 - 18:15","LIME CIRCUIT","BREE","GUNGAHLIN PLATINUM"
"Friday, 14 February 2025","17:30 - 18:15","REFORMER PILATES","KYLIE","UPWEY"
